file_name,ind_name,desc_name,order
DegreeHeatingWeeks.RData,X1,DHW_PR,1
DegreeHeatingWeeks.RData,X2,DHW_VI,2
OA.RData,"annual_data[, -1]",OA,3
ACEindex.RData,storm_index,ACE,4
turbidity.RData,X1,TURB_PR,5
turbidity.RData,X2,TURB_STT,6
turbidity.RData,X3,TURB_STX,7
Carib_SST.RData,mean,SST_MEAN,8
Carib_SST.RData,min,SST_MIN,9
Carib_SST.RData,max,SST_MAX,10
marine_debris.RData,Puerto.Rico,DEB_PR,11
marine_debris.RData,United.States.Virgin.Islands,DEB_VI,12
pollution.RData,PR_ind,POLL_PR,13
pollution.RData,USVI_ind,POLL_VI,14
carib_Chl.RData,"annual_data[, -1]",CHL,15
earthquakes.RData,as.numeric.tot_num.,ETQ,16
disturbance.RData,final_PR.ind,DISTB_PR,17
disturbance.RData,V2,DISTB_STT,18
disturbance.RData,V3,DISTB_STX,19
Sargassum.RData,tab,SARG,20
cruise.RData,X1,CRU_PR,21
cruise.RData,X2,CRU_VI,22
population.RData,pop_PR,POP_PR,23
population.RData,pop_USVI,POP_VI,24
RVC_PR.RData,X1,VETU_PR,25
RVC_PR.RData,X2,GUTT_PR,26
RVC_PR.RData,X3,ANAL_PR,27
RVC_PR.RData,X4,CHRY_PR,28
RVC_PR.RData,X5,AURO_PR,29
RVC_PR.RData,X6,VIRI_PR,30
RVC_STSJ.RData,X1,VETU_STT,31
RVC_STSJ.RData,X2,GUTT_STT,32
RVC_STSJ.RData,X3,ANAL_STT,33
RVC_STSJ.RData,X4,CHRY_STT,34
RVC_STSJ.RData,X5,AURO_STT,35
RVC_STSJ.RData,X6,VIRI_STT,36
RVC_STX.RData,X1,VETU_STX,37
RVC_STX.RData,X2,GUTT_STX,38
RVC_STX.RData,X3,ANAL_STX,39
RVC_STX.RData,X4,CHRY_STX,40
RVC_STX.RData,X5,AURO_STX,41
RVC_STX.RData,X6,VIRI_STX,42
fish_density.RData,X1,DEN_PR,43
fish_density.RData,X2,DEN_VI,44
fish_density.RData,X3,SLPSIZ_VI,45
PD_ratio.RData,X1,PDR_PR,46
PD_ratio.RData,X2,PDR_STT,47
PD_ratio.RData,X3,PDR_STX,48
mean_Lmax.RData,X1,MLMAX_PR,49
mean_Lmax.RData,X2,MLMAX_STT,50
mean_Lmax.RData,X3,MLMAX_STX,51
PR_Lmax_classes.RData,Lmax1,LMAX1_PR,52
PR_Lmax_classes.RData,Lmax2,LMAX2_PR,53
PR_Lmax_classes.RData,Lmax3,LMAX3_PR,54
PR_Lmax_classes.RData,Lmax4,LMAX4_PR,55
PR_Lmax_classes.RData,Lmax5,LMAX5_PR,56
PR_mean_Lmax.RData,lmax,MLMAX_PR2,57
STT_Lmax_classes.RData,Lmax1,LMAX1_STT,58
STT_Lmax_classes.RData,Lmax2,LMAX2_STT,59
STT_Lmax_classes.RData,Lmax3,LMAX3_STT,60
STT_Lmax_classes.RData,Lmax4,LMAX4_STT,61
STT_Lmax_classes.RData,Lmax5,LMAX5_STT,62
STX_Lmax_classes.RData,Lmax1,LMAX1_STX,63
STX_Lmax_classes.RData,Lmax2,LMAX2_STX,64
STX_Lmax_classes.RData,Lmax3,LMAX3_STX,65
STX_Lmax_classes.RData,Lmax4,LMAX4_STX,66
STX_Lmax_classes.RData,Lmax5,LMAX5_STX,67
total_landings.RData,X1,LOB_PR,68
total_landings.RData,X2,LOB_STT,69
total_landings.RData,X3,LOB_STX,70
total_landings.RData,X4,CONC_PR,71
total_landings.RData,X5,CONC_STT,72
total_landings.RData,X6,CONC_STX,73
total_landings.RData,X7,OTHR_PR,74
total_landings.RData,X8,OTHR_STT,75
total_landings.RData,X9,OTHR_STX,76
oceanNAICS.RData,GDP.PR,O_GDP_PR,77
oceanNAICS.RData,GDP.USVI,O_GDP_VI,78
oceanNAICS.RData,est.PR,EST_PR,79
oceanNAICS.RData,est.USVI,EST_VI,80
oceanNAICS.RData,emp.PR,EMP_PR,81
oceanNAICS.RData,emp.USVI,EMP_VI,82
oceanNAICS.RData,wag.PR,WAG_PR,83
oceanNAICS.RData,wag.USVI,WAG_VI,84
GDP.RData,X1,GDP_PR,85
GDP.RData,X2,GDP_VI,86
unemployment.RData,X1,UNEM_PR,87
unemployment.RData,X2,UNEM_VI,88
gini.RData,gini_rev_pr,GINI_PR,89
gini.RData,gini_rev_stt,GINI_STT,90
gini.RData,gini_land_stx,GINI_STX,91
gini_landings.RData,gini_land_pr,GINI_L_PR,92
gini_landings.RData,gini_land_stt,GINI_L_STT,93
gini_landings.RData,gini_land_stx,GINI_L_STX,94
gini_revenue.RData,gini_rev_pr,GINI_R_PR,95
gini_revenue.RData,gini_rev_stt,GINI_R_STT,96
gini_revenue.RData,gini_rev_stx,GINI_R_STX,97
total_rec_catch.RData,Puerto.Rico..USA.,REC_PR,98
total_rec_catch.RData,US.Virgin.Isl.,REC_VI,99
prop_diving_trips.RData,PR,DIV_PR,100
prop_diving_trips.RData,STT,DIV_STT,101
prop_diving_trips.RData,STX,DIV_STX,102
prop_trips_bycatch.RData,PR,BYCAT_PR,103
prop_trips_bycatch.RData,STT,BYCAT_STT,104
prop_trips_bycatch.RData,STX,BYCAT_STX,105
regulations.RData,dat.amendments,REGS,106
FRsection.RData,dat.amendments,MGMT,107
tier3.RData,PR,TR3_PR,108
tier3.RData,USVI,TR3_VI,109
outreach.RData,X1,OUT_PR,110
outreach.RData,X2,OUT_VI,111
coral_spprichness_cover.RData,X1,CRLRCH_PR,112
coral_spprichness_cover.RData,X2,CRLCVR_PR,113
coral_spprichness_cover.RData,X3,CRLRCH_VI,114
coral_spprichness_cover.RData,X4,CRLCVR_VI,115
